county,variable,estimate,std.error,statistic,p.value,conf_low,conf_high,significant
Baringo,(Intercept),2.752,NA,NA,NA,NA,NA,NA
Baringo,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Baringo,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Bomet,(Intercept),1.175,0.201,5.839,0.001,0.844,1.507,Significant
Bomet,Cattle incidence,0.046,0.078,0.591,0.573,-0.082,0.175,Not Significant
Bomet,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Bungoma,(Intercept),2.158,0.143,15.105,0,1.923,2.393,Significant
Bungoma,Cattle incidence,0.52,0.086,6.032,0.004,0.378,0.662,Significant
Bungoma,Goat Incidence,5.939,4.732,1.255,0.278,-1.845,13.724,Not Significant
Busia,(Intercept),0.678,0.106,6.371,0.024,0.503,0.853,Significant
Busia,Cattle incidence,-0.056,0.062,-0.895,0.465,-0.158,0.047,Not Significant
Busia,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Elgeyo Marakwet,(Intercept),3.825,0.495,7.728,0.082,3.011,4.639,Significant
Elgeyo Marakwet,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Elgeyo Marakwet,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Embu,(Intercept),0.988,0.173,5.703,0.111,0.703,1.273,Significant
Embu,Cattle incidence,-0.022,0.083,-0.261,0.838,-0.158,0.115,Not Significant
Embu,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Garissa,(Intercept),1.023,NA,NA,NA,NA,NA,NA
Garissa,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Garissa,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Isiolo,(Intercept),1.702,NA,NA,NA,NA,NA,NA
Isiolo,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Isiolo,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Kakamega,(Intercept),0.45,NA,NA,NA,NA,NA,NA
Kakamega,Cattle incidence,-0.001,NA,NA,NA,NA,NA,NA
Kakamega,Goat Incidence,-0.075,NA,NA,NA,NA,NA,NA
Kericho,(Intercept),2.416,NA,NA,NA,NA,NA,NA
Kericho,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Kericho,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Kilifi,(Intercept),0.046,NA,NA,NA,NA,NA,NA
Kilifi,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Kilifi,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Kirinyaga,(Intercept),0.002,NA,NA,NA,NA,NA,NA
Kirinyaga,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Kirinyaga,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Kisii,(Intercept),3.074,0.125,24.57,0.026,2.868,3.28,Significant
Kisii,Cattle incidence,0.013,0.007,1.879,0.311,0.002,0.025,Significant
Kisii,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Kitui,(Intercept),0.599,0.207,2.891,0.212,0.258,0.94,Significant
Kitui,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Kitui,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Laikipia,(Intercept),0.757,NA,NA,NA,NA,NA,NA
Laikipia,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Laikipia,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Machakos,(Intercept),0.276,0.047,5.864,0.004,0.199,0.354,Significant
Machakos,Cattle incidence,0.015,0.008,1.989,0.118,0.003,0.028,Significant
Machakos,Goat Incidence,0.149,0.131,1.131,0.321,-0.067,0.364,Not Significant
Makueni,(Intercept),0.484,0.007,65.384,0,0.471,0.496,Significant
Makueni,Cattle incidence,-0.106,0.006,-16.979,0,-0.116,-0.095,Significant
Makueni,Goat Incidence,-0.19,0.019,-10.062,0.002,-0.221,-0.159,Significant
Mandera,(Intercept),1.055,0.066,16.055,0.04,0.947,1.163,Significant
Mandera,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Mandera,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
